,train_rmse,test_rmse
XLB,1.2614016649281887,4.349446870347913
XLE,1.347224470615109,4.749979593261076
XLF,0.5045026307235604,3.1603745841806083
XLI,1.4343986055816658,23.615518121888975
XLK,3.461159327229979,36.930784421624956
XLP,0.8435688073098356,3.956630086341569
XLRE,0.8008045666321317,0.9076871916555493
XLU,1.1055959984604564,2.4981659473300253
XLV,1.5612669339170866,10.685031306090417
XLY,3.022108987631474,3.6891364095978143
ADA-USD,0.07588244851635963,0.04097719351313339
BTC-USD,1294.7211474052,2840.0728629264686
XRP-USD,0.06061614746283128,0.029861399369282043
