Date,Adj Close,Close,High,Low,Open,Volume
1998-12-22,24.06436538696289,32.046875,32.5,31.78125,32.40625,300500
1998-12-23,24.639272689819336,32.8125,32.8125,32.15625,32.75,338300
1998-12-24,24.545412063598633,32.6875,32.8125,32.5625,32.8125,243700
1998-12-28,24.61581802368164,32.78125,33.1875,32.59375,33.1875,309300
1998-12-29,24.68621063232422,32.875,33.015625,32.5,32.9375,123800
1998-12-30,24.592350006103516,32.75,33.140625,32.578125,32.6875,95600
1998-12-31,24.49848175048828,32.625,32.90625,32.34375,32.75,77200
1999-01-04,24.780086517333984,33.0,33.5625,32.59375,32.65625,650600
1999-01-05,25.413654327392578,33.84375,34.03125,33.0625,33.0625,295200
1999-01-06,26.164575576782227,34.84375,34.9375,34.40625,34.6875,624700
1999-01-07,26.082447052001953,34.734375,35.03125,34.28125,34.5,534600
1999-01-08,26.18803596496582,34.875,35.5625,34.484375,35.5,532800
1999-01-11,26.4461612701416,35.21875,35.875,34.84375,35.875,497900
1999-01-12,25.730451583862305,34.265625,35.5625,34.265625,35.5,486000
1999-01-13,25.718713760375977,34.25,35.15625,32.0,32.0,548300
1999-01-14,25.36673355102539,33.78125,34.625,33.5625,34.34375,366300
1999-01-15,26.117637634277344,34.78125,34.796875,33.84375,34.0,653900
1999-01-19,27.02107810974121,35.984375,36.0,35.015625,35.625,437300
1999-01-20,27.267475128173828,36.3125,37.484375,36.25,36.875,1132200
1999-01-21,26.563493728637695,35.375,36.3125,35.125,36.25,1492900
1999-01-22,26.094175338745117,34.75,35.40625,34.390625,34.75,1291000
1999-01-25,26.551748275756836,35.359375,35.375,34.59375,35.1875,946600
1999-01-26,27.619455337524414,36.78125,36.8125,35.75,35.75,713900
1999-01-27,27.032812118530273,36.0,37.484375,36.0,37.25,1366900
1999-01-28,27.983190536499023,37.265625,37.28125,36.609375,36.75,903600
1999-01-29,28.39383316040039,37.8125,37.84375,36.9375,37.375,933600
1999-02-01,28.417293548583984,37.84375,38.375,37.5625,38.15625,913000
1999-02-02,27.936256408691406,37.203125,38.0,36.625,38.0,1259200
1999-02-03,28.13570785522461,37.46875,38.0625,36.8125,37.0625,1334100
1999-02-04,27.17360496520996,36.1875,37.75,35.875,37.75,1945900
1999-02-05,26.51656150817871,35.3125,36.21875,34.75,36.0,1832400
1999-02-08,26.96240997314453,35.90625,36.5,35.125,35.75,1314600
1999-02-09,25.906452178955078,34.5,36.03125,34.3125,36.0,2085500
1999-02-10,26.094175338745117,34.75,35.40625,34.25,34.65625,1401800
1999-02-11,27.19708251953125,36.21875,36.28125,35.03125,35.375,2666700
1999-02-12,26.117637634277344,34.78125,35.78125,34.59375,35.375,2917400
1999-02-16,26.000303268432617,34.625,35.8125,34.5,35.75,1726400
1999-02-17,25.413654327392578,33.84375,34.96875,33.5625,33.75,2783500
1999-02-18,25.554454803466797,34.03125,34.40625,33.34375,34.3125,2075600
1999-02-19,25.78911590576172,34.34375,34.875,34.15625,34.625,1673600
1999-02-22,26.704294204711914,35.5625,35.65625,34.34375,34.59375,2368000
1999-02-23,27.056276321411133,36.03125,36.46875,35.5625,36.0,2065500
1999-02-24,26.305360794067383,35.03125,36.4375,35.03125,36.375,2500500
1999-02-25,26.37577247619629,35.125,35.125,34.125,34.375,2566200
1999-02-26,25.577917098999023,34.0625,35.125,33.75,35.0625,2342600
1999-03-01,25.460596084594727,33.90625,34.1875,33.4375,33.625,1092100
1999-03-02,24.780086517333984,33.0,34.5,33.0,34.1875,2480200
1999-03-03,25.202468872070312,33.5625,33.71875,32.875,33.5,1607800
1999-03-04,25.460596084594727,33.90625,34.46875,33.125,34.375,3199100
1999-03-05,26.0472412109375,34.6875,35.0,34.265625,34.875,1876900
1999-03-08,26.79816246032715,35.6875,35.75,35.03125,35.5,1659400
1999-03-09,26.51656150817871,35.3125,36.1875,35.1875,35.5,936000
1999-03-10,26.51656150817871,35.3125,35.53125,34.890625,35.3125,442000
1999-03-11,26.469633102416992,35.25,35.96875,34.90625,35.5,1216200
1999-03-12,26.234968185424805,34.9375,35.5625,34.5625,35.5625,836000
1999-03-15,26.657360076904297,35.5,35.5,34.640625,35.1875,432100
1999-03-16,27.114948272705078,36.109375,36.25,35.40625,35.53125,758800
1999-03-17,26.93895721435547,35.875,36.125,35.5625,36.09375,425400
1999-03-18,27.31439208984375,36.375,36.40625,35.625,35.75,321400
1999-03-19,26.657360076904297,35.5,36.875,35.5,36.6875,636500
1999-03-22,26.657360076904297,35.5,35.84375,35.1875,35.5,773500
1999-03-23,25.882984161376953,34.46875,35.25,34.21875,35.25,1498600
1999-03-24,26.38748550415039,35.140625,35.296875,34.09375,34.6875,616700
1999-03-25,27.009349822998047,35.96875,36.09375,35.5625,35.84375,595100
1999-03-26,26.868553161621094,35.78125,36.375,35.59375,35.8125,483500
1999-03-29,27.877588272094727,37.125,37.1875,36.15625,36.25,949700
1999-03-30,27.830646514892578,37.0625,37.5,36.75,36.9375,842500
1999-03-31,27.478673934936523,36.59375,37.8125,36.53125,37.5,774700
1999-04-01,27.912784576416016,37.171875,37.53125,36.5,37.5,318500
1999-04-05,28.874893188476562,38.453125,38.5,37.59375,37.625,1003500
1999-04-06,29.121278762817383,38.78125,39.125,38.3125,38.6875,540100
1999-04-07,29.050884246826172,38.6875,39.5625,37.9375,39.5,931700
1999-04-08,29.332475662231445,39.0625,39.1875,37.875,38.6875,606900
1999-04-09,29.285537719726562,39.0,39.359375,38.6875,38.984375,278800
1999-04-12,28.83970069885254,38.40625,38.609375,37.4375,37.625,1037500
1999-04-13,28.39383316040039,37.8125,38.75,37.5,38.5625,800600
1999-04-14,27.68985939025879,36.875,38.484375,36.75,38.375,475700
1999-04-15,27.924522399902344,37.1875,37.375,36.09375,37.3125,1699200
1999-04-16,27.17360496520996,36.1875,37.25,36.0,37.1875,272100
1999-04-19,25.85951042175293,34.4375,36.59375,34.125,36.5625,1208300
1999-04-20,26.51656150817871,35.3125,35.375,34.125,34.8125,1029400
1999-04-21,27.220542907714844,36.25,36.375,35.0625,35.3125,507800
1999-04-22,28.475975036621094,37.921875,37.984375,37.1875,37.8125,1032300
1999-04-23,28.53462028503418,38.0,38.34375,37.25,37.71875,244500
1999-04-26,29.262069702148438,38.96875,39.0,38.21875,38.4375,265100
1999-04-27,28.53462028503418,38.0,39.46875,37.96875,39.4375,413000
1999-04-28,28.159168243408203,37.5,38.40625,37.3125,38.0,894300
1999-04-29,27.865859985351562,37.109375,37.5625,36.59375,37.5,484000
1999-04-30,27.64292335510254,36.8125,37.75,35.9375,37.75,760000
1999-05-03,27.877588272094727,37.125,37.25,36.59375,37.0,201600
1999-05-04,27.455198287963867,36.5625,37.4375,36.3125,36.96875,1434900
1999-05-05,28.018396377563477,37.3125,37.3125,35.75,36.75,443100
1999-05-06,27.31439208984375,36.375,37.59375,36.25,37.0,343400
1999-05-07,27.783723831176758,37.0,37.1875,36.28125,36.9375,369700
1999-05-10,28.018396377563477,37.3125,37.75,37.0625,37.375,243200
1999-05-11,28.440767288208008,37.875,38.25,37.53125,37.53125,465600
1999-05-12,29.003950119018555,38.625,38.84375,37.5,38.46875,294700
