,appl,boa,ford,msft
0,152.041122,34.748581,11.97438,229.443207
1,149.373917,34.902847,12.001248,225.529037
2,143.801514,34.796783,11.69674,217.552444
3,137.703613,34.603954,11.875863,211.770157
4,137.435455,35.471703,12.099767,218.827515
5,137.971741,35.683819,12.269933,225.232529
6,138.547806,35.780239,12.287845,226.220947
7,133.949402,35.21138,11.920644,221.911407
8,145.867508,36.763687,12.699829,240.167618
9,148.678192,37.033653,12.986425,244.249802
10,147.267883,36.406944,12.723982,238.754181
11,149.015854,36.349098,12.941176,239.169312
12,147.774384,36.021278,12.579185,239.605438
13,149.691223,35.838085,12.588235,239.555878
14,150.257339,35.857372,12.660633,239.099915
15,146.999725,35.973068,12.624434,239.922638
16,149.154907,36.146622,12.733031,242.876434
17,150.038849,36.262325,12.696831,245.404022
18,147.099045,36.349098,12.742081,245.314819
19,143.235596,35.539196,12.425339,239.635178
20,140.206406,35.674183,12.443439,238.217758
21,147.019577,36.493721,12.579185,252.897583
22,147.297668,35.446327,12.742081,252.451523
23,146.801102,34.990524,12.542987,252.778656
24,145.62915,33.429142,12.108597,248.000992
25,141.93454,32.003529,12.018099,242.965622
26,139.977982,31.751375,11.855204,242.222229
27,141.6763,31.460436,11.873303,245.225616
28,141.189651,31.402252,11.927602,243.263
29,143.503738,31.74168,12.180995,250.29068
30,144.477066,31.76108,12.280543,254.661942
31,142.232498,31.305271,12.199094,254.95932
32,135.568283,30.810671,11.791855,246.821457
33,133.591873,30.742785,10.968325,242.539429
34,131.466461,31.091911,10.579185,238.3367
35,131.396973,31.217987,10.380091,239.674835
36,134.525452,31.693193,10.660633,242.281693
37,131.327438,31.411949,10.235294,236.096542
38,130.959946,31.489534,10.280542,236.63179
39,129.142441,31.547716,10.135747,234.877365
40,125.179672,31.780476,9.909502,232.468719
41,128.725311,32.139297,10.443439,238.891769
42,129.043121,32.119904,10.524888,237.712234
43,124.216301,32.498131,10.570136,237.47435
44,125.497498,33.109104,10.868778,227.086456
45,124.166649,33.041222,11.085974,220.35614
46,128.735229,33.370953,11.384616,222.953094
47,129.261597,32.866653,11.484162,225.123825
48,129.837646,33.089706,11.619909,226.838638
49,132.578842,33.341858,11.9638,233.69783
50,132.499374,33.429142,12.153847,236.413742
51,133.840149,34.166191,11.511312,237.127411
52,135.012085,33.477634,11.466063,238.237579
53,134.287094,32.70179,11.230768,233.737457
54,134.34668,32.226585,11.022625,229.891556
55,136.928925,32.827858,11.221719,238.108704
56,140.146805,33.283665,11.583711,240.447968
57,141.557129,33.526119,11.529411,239.91272
58,140.891693,33.817062,11.57466,238.495285
59,142.977371,34.272869,11.692307,245.820343
60,144.933914,34.379551,12.00905,245.978943
61,142.023911,34.234077,11.665159,240.576828
62,143.305084,34.408638,12.226245,245.632004
63,144.437317,34.835354,12.479637,250.52858
64,149.790558,35.039013,12.959275,262.274475
65,153.445419,35.329956,11.97285,256.079376
66,150.694321,35.271767,11.891403,254.51326
67,153.594391,35.659691,12.171946,265.208435
68,150.883026,35.397842,12.144796,264.385712
69,149.840195,34.641392,12.208144,261.30304
70,150.208221,34.505623,12.246625,260.787598
71,153.033157,34.573513,12.592957,268.935364
72,152.386612,34.544411,12.477512,269.777924
73,154.505295,34.486229,12.439032,267.621613
74,152.893906,34.21468,12.41979,260.496796
75,151.740067,34.282562,12.40055,256.432587
76,147.691666,33.477634,11.736751,251.076584
77,148.119385,33.254574,11.74637,249.923904
78,148.606781,33.225483,11.611687,253.163345
79,145.931061,33.176991,11.428901,247.648361
80,147.134644,33.176991,11.602067,248.582428
81,146.62735,33.264271,11.611687,247.847076
82,144.538498,33.109104,11.852194,244.716949
83,145.135315,32.689384,12.073461,249.526428
84,150.228134,33.343365,12.583335,253.680054
85,153.01326,33.27504,12.487132,255.250107
86,150.79512,32.211098,12.342828,252.547256
87,152.058365,31.781618,12.487132,252.100082
88,149.790466,29.809908,11.977257,250.728806
89,147.711548,29.54636,11.640548,247.022308
90,149.671112,27.828438,11.573206,252.318695
91,151.779846,28.07246,11.477002,259.145386
92,152.177734,27.808914,11.265356,263.766052
93,155.022537,28.277439,11.371179,274.458221
94,154.177048,27.15493,10.870924,277.667847
95,156.564301,27.086605,10.755481,270.513214
96,158.434311,27.906523,11.274978,272.053467
97,156.99202,26.979233,11.044089,270.572845
98,158.086166,26.325251,10.986367,275.908997
99,159.399185,26.491186,11.072951,278.800659
100,157.439636,27.808914,11.082571,274.637085
101,156.812958,27.44776,11.159534,273.494354
102,159.916428,27.984612,11.592446,278.741028
103,161.497986,27.623455,11.823333,282.258698
104,164.024475,27.916285,12.121562,286.481873
105,165.28775,27.906523,12.198524,285.418671
106,164.750626,27.311108,12.237005,285.368927
107,162.890533,26.979233,11.958017,282.546844
108,163.785767,27.174454,11.861814,289.761108
109,161.169724,27.272062,12.237005,287.565033
110,159.946259,28.023653,12.38131,281.046387
111,159.249985,27.799152,12.188904,281.70224
112,164.680969,27.877239,11.986877,288.012177
113,164.33284,28.814291,12.0446,284.33551
114,164.352737,29.643972,12.198524,286.978729
115,165.586166,29.829428,12.246625,286.551453
116,166.740005,29.341381,11.755991,286.630951
117,165.765198,29.185205,11.419281,284.305664
118,164.14386,29.155924,11.36156,283.957916
119,164.452209,29.048553,11.698269,279.993073
120,162.900482,28.150547,11.464499,273.683136
121,162.890533,27.760109,11.240469,293.507294
122,167.515854,28.199352,11.308651,302.907623
123,168.779114,28.580029,11.571644,305.322327
124,168.68959,28.345766,11.746971,303.633057
125,167.645142,27.486805,11.49372,303.484009
126,166.560944,27.193975,11.483979,302.480347
127,164.909744,26.344774,11.25995,303.484009
128,172.648453,27.047558,11.678788,308.690979
129,172.578827,27.02804,11.70801,306.703552
