Date,Adj Close,Close,High,Low,Open,Volume
1998-12-22,17.233089447021484,25.03125,25.0625,24.8125,24.8125,5700
1998-12-23,17.620346069335938,25.59375,25.59375,25.1875,25.1875,18100
1998-12-24,17.72793197631836,25.75,25.75,25.515625,25.625,4900
1998-12-28,17.469751358032227,25.375,25.75,25.375,25.671875,15500
1998-12-29,17.85702133178711,25.9375,25.9375,25.375,25.375,5300
1998-12-30,17.7064151763916,25.71875,26.03125,25.71875,26.0,17300
1998-12-31,17.900041580200195,26.0,26.0,25.75,25.8125,6600
1999-01-04,17.85702133178711,25.9375,26.375,25.78125,26.25,249200
1999-01-05,18.136701583862305,26.34375,26.34375,26.0,26.0,4400
1999-01-06,18.43790626525879,26.78125,26.78125,26.46875,26.53125,38500
1999-01-07,18.35184669494629,26.65625,26.6875,26.34375,26.53125,15900
1999-01-08,18.57774543762207,26.984375,26.984375,26.71875,26.71875,24400
1999-01-11,18.620773315429688,27.046875,27.25,26.8125,26.96875,7700
1999-01-12,18.545480728149414,26.9375,27.25,26.90625,27.125,270700
1999-01-13,18.37336540222168,26.6875,26.875,25.78125,25.78125,7100
1999-01-14,18.222763061523438,26.46875,26.859375,26.375,26.78125,12200
1999-01-15,18.47017478942871,26.828125,26.90625,26.5625,26.5625,7700
1999-01-19,18.997289657592773,27.59375,27.65625,27.125,27.28125,22700
1999-01-20,19.104856491088867,27.75,28.125,27.59375,27.75,25800
1999-01-21,18.43790626525879,26.78125,27.6875,26.71875,27.6875,23200
1999-01-22,18.36259651184082,26.671875,26.875,26.40625,26.59375,67100
1999-01-25,18.513200759887695,26.890625,26.90625,26.6875,26.6875,495300
1999-01-26,18.599260330200195,27.015625,27.03125,26.671875,26.9375,187400
1999-01-27,18.416399002075195,26.75,27.09375,26.75,27.09375,6800
1999-01-28,18.760616302490234,27.25,27.34375,27.0,27.0,25800
1999-01-29,18.760616302490234,27.25,27.28125,26.90625,27.28125,13800
1999-02-01,18.86819076538086,27.40625,27.46875,27.15625,27.375,34000
1999-02-02,18.588502883911133,27.0,27.046875,26.625,26.96875,141700
1999-02-03,18.94348907470703,27.515625,27.515625,26.9375,26.9375,38900
1999-02-04,18.803651809692383,27.3125,27.4375,27.125,27.34375,7400
1999-02-05,18.588502883911133,27.0,27.3125,26.8125,27.3125,16900
1999-02-08,18.57774543762207,26.984375,27.125,26.875,27.125,6500
1999-02-09,18.244279861450195,26.5,27.09375,26.5,27.0625,220800
1999-02-10,18.287296295166016,26.5625,26.5625,26.1875,26.3125,17800
1999-02-11,18.782140731811523,27.28125,27.28125,26.375,26.46875,5300
1999-02-12,18.502450942993164,26.875,27.125,26.71875,27.125,8400
1999-02-16,18.674562454223633,27.125,27.3125,27.0,27.0,18500
1999-02-17,18.480937957763672,26.84375,27.25,26.8125,27.0625,12900
1999-02-18,18.717592239379883,27.1875,27.203125,26.765625,26.9375,11500
1999-02-19,18.771379470825195,27.265625,27.375,27.1875,27.1875,13900
1999-02-22,19.169395446777344,27.84375,27.859375,27.3125,27.375,17800
1999-02-23,19.137123107910156,27.796875,27.90625,27.5,27.90625,15000
1999-02-24,18.911224365234375,27.46875,27.984375,27.46875,27.875,28000
1999-02-25,18.728357315063477,27.203125,27.34375,26.875,27.34375,98900
1999-02-26,18.782140731811523,27.28125,27.359375,26.890625,27.3125,10800
1999-03-01,18.749868392944336,27.234375,27.25,26.90625,27.21875,8800
1999-03-02,18.739097595214844,27.21875,27.640625,27.046875,27.40625,11500
1999-03-03,18.620773315429688,27.046875,27.3125,27.0,27.3125,13100
1999-03-04,18.954252243041992,27.53125,27.53125,27.234375,27.4375,10400
1999-03-05,19.384538650512695,28.15625,28.21875,27.84375,27.9375,25400
1999-03-08,19.40605354309082,28.1875,28.1875,27.9375,28.09375,62700
1999-03-09,19.255451202392578,27.96875,28.25,27.8125,27.84375,12200
1999-03-10,19.427587509155273,28.21875,28.21875,27.78125,27.9375,10700
1999-03-11,19.556659698486328,28.40625,28.5625,28.21875,28.21875,23600
1999-03-12,19.4490909576416,28.25,28.65625,28.25,28.53125,24600
1999-03-15,19.513626098632812,28.34375,28.546875,28.21875,28.4375,144800
1999-03-16,19.470603942871094,28.28125,28.4375,28.234375,28.4375,9100
1999-03-17,19.3630313873291,28.125,28.359375,28.015625,28.1875,2700
1999-03-18,19.631959915161133,28.515625,28.515625,27.96875,27.96875,9500
1999-03-19,19.5459041595459,28.390625,28.65625,28.28125,28.53125,6900
1999-03-22,19.49211883544922,28.3125,28.59375,28.28125,28.3125,40900
1999-03-23,18.954252243041992,27.53125,28.25,27.4375,28.25,15400
1999-03-24,19.04030990600586,27.65625,27.65625,27.34375,27.46875,12800
1999-03-25,19.3630313873291,28.125,28.125,27.75,27.90625,9700
1999-03-26,19.21242904663086,27.90625,28.03125,27.84375,27.921875,6600
