,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,ADA-USD,BTC-USD,XRP-USD
0,75.93712,77.37724,31.110395,95.40342,134.26639,69.105675,35.201614,62.238316,124.132996,136.9471,0.3061236,24413.357,0.3656438
1,76.81477,77.97257,31.77672,96.1578,137.35762,69.619965,35.604122,63.044937,125.051544,139.42068,0.3058571,24986.908,0.36608222
2,74.49271,74.50791,30.879602,94.29193,137.43494,69.97521,35.625317,63.868748,124.96326,139.19939,0.28697866,24599.805,0.35388944
3,75.31334,75.20672,31.507061,95.28226,141.1411,70.012146,35.625317,64.27191,125.887886,141.87857,0.28769287,25308.047,0.35874513
4,74.18498,74.17814,30.426674,93.993095,140.95612,69.61225,34.725452,63.687634,124.58942,139.9478,0.3118419,27798.62,0.37151194
5,75.64903,75.46129,30.789932,95.02841,141.31352,70.35088,35.136753,64.15949,125.85369,140.59311,0.2946048,28160.033,0.3663926
6,76.48923,77.58679,31.61991,95.8781,142.37685,70.308266,34.912907,62.91847,126.4329,144.73303,0.33184904,28590.316,0.45141602
7,75.23124,76.25687,30.842762,94.420494,141.05443,69.815445,33.51364,61.689117,124.93965,141.3022,0.32157502,27676.012,0.40907025
8,75.146866,75.370544,30.620644,94.18962,143.18144,69.60062,33.292965,61.04673,124.74451,141.14339,0.33263257,28756.91,0.4291002
9,75.72255,75.61736,30.599463,94.51834,143.52194,70.49803,34.232307,62.95596,126.11223,140.65659,0.32106316,27871.621,0.41213107
10,76.239685,76.94301,31.053759,95.16049,142.50406,70.762825,34.105087,63.030807,126.49911,140.96347,0.3070137,27499.701,0.46066174
11,76.56878,77.87924,31.043222,95.54036,141.88387,70.848595,33.97802,63.19862,125.922554,140.78355,0.32905912,27634.646,0.49226922
12,77.49765,78.695755,31.525963,96.55155,144.59349,71.11067,34.870285,64.07842,126.18742,143.63176,0.3418871,28772.152,0.5180532
13,77.94321,78.95066,31.452774,96.69013,146.07405,71.23988,35.371407,64.338776,126.695885,144.96594,0.33691007,28440.49,0.50961226
14,78.95225,79.346565,31.817612,97.499016,147.85982,71.589745,36.224438,64.77254,127.64965,149.07816,0.3587484,28909.143,0.51345086
15,79.32833,81.70475,31.879856,97.6007,147.66196,71.80143,35.851444,64.36556,128.57477,147.63173,0.3472783,28184.234,0.47594306
16,78.446045,80.770874,31.567743,96.16931,146.97108,71.721504,35.862106,64.66705,128.5869,147.37808,0.3497519,28582.18,0.4818205
17,78.30428,81.53821,31.525963,95.22214,145.51607,71.90508,35.65945,66.15407,129.84499,144.1718,0.35236022,28592.602,0.48430645
18,78.15298,80.752266,31.651182,95.19906,146.23605,71.93552,35.926083,66.549126,130.00955,144.20358,0.34346098,28451.633,0.48165727
19,78.45387,81.16707,31.724072,95.863655,146.16791,71.93552,36.128582,66.43728,129.96516,144.88127,0.35686377,30146.596,0.4952131
20,78.9297,81.6419,32.014378,96.28037,144.9609,72.0445,36.320244,66.48531,130.18343,145.12474,0.36121798,30759.781,0.4944906
21,78.97473,81.67622,31.942003,96.504776,144.22375,71.87434,36.20314,66.42925,130.20236,142.73157,0.3662015,30658.658,0.4841982
22,79.57857,81.97991,32.240936,96.74871,146.5838,72.083115,36.07531,66.43728,130.95529,146.08788,0.38498488,30932.518,0.4906749
23,79.153015,82.068054,32.56772,96.670494,145.87727,71.8433,35.392742,65.79937,130.50005,146.28891,0.39732912,31023.752,0.50034
