,train_rmse,test_rmse
XLB,1.168545414802486,1.3492149659645116
XLE,1.4406882871120905,3.6399343626783542
XLF,0.531150643,0.5749769322100587
XLI,1.0672255970265778,1.3656701362656098
XLK,2.4459816088111093,3.179054125490325
XLP,0.6211518766817212,0.7316076808363566
XLRE,0.506559854,0.6345230769796097
XLU,0.6694134676460591,1.0491071161161138
XLV,1.243666189914549,1.5239540329519927
XLY,2.9129651446704345,3.928864820683843
ADA-USD,0.12103402304181853,0.021657804
BTC-USD,2187.7580013267566,2941.493977676155
XRP-USD,0.071605562,0.022015463001477706
